"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.575966666E2,4.544871976E1,-7.375715090E1,2.688933074E1,2.428711510E1,9.256597900E1,3.792635679E0,1.528258443E0
1.585965996E2,4.544870895E1,-7.375684518E1,2.697464032E1,2.337846947E1,9.334777832E1,3.800187111E0,1.530244827E0
1.595966176E2,4.544869425E1,-7.375655568E1,2.686848194E1,2.206333923E1,9.386100769E1,3.540281296E0,1.521713138E0
1.605966556E2,4.544867844E1,-7.375628720E1,2.686868656E1,2.064997482E1,9.424909210E1,3.359977722E0,1.512481213E0
1.615966676E2,4.544866389E1,-7.375603693E1,2.664408082E1,1.920541763E1,9.432434082E1,3.343304634E0,1.520007372E0
1.625967166E2,4.544865168E1,-7.375580110E1,2.602907453E1,1.876473618E1,9.434178925E1,3.388749123E0,1.521248937E0
1.635966986E2,4.544863889E1,-7.375556879E1,2.551018388E1,1.840729141E1,9.438629150E1,3.415667295E0,1.529516697E0
1.645967926E2,4.544862879E1,-7.375534299E1,2.499627162E1,1.797908020E1,9.442360687E1,3.461466551E0,1.536700487E0
1.655967496E2,4.544861717E1,-7.375511874E1,2.508623720E1,1.785374069E1,9.449851227E1,3.608307123E0,1.546516657E0
1.665967236E2,4.544860598E1,-7.375489188E1,2.546365399E1,1.779129219E1,9.471898651E1,3.823711872E0,1.553102851E0
1.675967596E2,4.544859483E1,-7.375466603E1,2.565314308E1,1.773843956E1,9.483087158E1,3.779643536E0,1.567401290E0
1.685968246E2,4.544858294E1,-7.375443949E1,2.574982346E1,1.786487770E1,9.501696014E1,3.997328281E0,1.597893238E0
1.695968226E2,4.544856955E1,-7.375421239E1,2.591831564E1,1.781986809E1,9.527692413E1,3.983489513E0,1.623861074E0
1.705969566E2,4.544855521E1,-7.375398759E1,2.606845048E1,1.746592712E1,9.549224854E1,4.101745605E0,1.641720176E0
1.715968026E2,4.544854136E1,-7.375376928E1,2.622016425E1,1.711034203E1,9.570614624E1,4.280042171E0,1.662464261E0
1.725968326E2,4.544852562E1,-7.375355681E1,2.603966617E1,1.663530159E1,9.680593872E1,4.125253677E0,1.686637521E0
1.735968636E2,4.544850520E1,-7.375335156E1,2.590884840E1,1.594370842E1,9.906646729E1,4.074494839E0,1.700720549E0
1.745968396E2,4.544848106E1,-7.375315499E1,2.575871582E1,1.498627377E1,9.980126953E1,4.129914284E0,1.713406920E0
1.755968496E2,4.544845621E1,-7.375297180E1,2.532812911E1,1.441196060E1,9.877363586E1,4.315051079E0,1.722486496E0
1.765968696E2,4.544843557E1,-7.375279727E1,2.476463336E1,1.409608746E1,9.756510925E1,4.172881603E0,1.725292563E0
1.775968976E2,4.544841555E1,-7.375262518E1,2.446146131E1,1.351928616E1,9.707968140E1,4.237876892E0,1.732745767E0
1.785969026E2,4.544839813E1,-7.375246156E1,2.507679471E1,1.195949078E1,9.723642731E1,4.220788956E0,1.711528301E0
1.795969156E2,4.544838481E1,-7.375232784E1,2.516795537E1,1.005805397E1,9.750763702E1,4.065239906E0,1.679739714E0
1.805969216E2,4.544837333E1,-7.375221683E1,2.480501873E1,8.018588066E0,9.854844666E1,4.068718910E0,1.674430490E0
1.815969506E2,4.544836023E1,-7.375212932E1,2.455081498E1,7.232366085E0,1.074240723E2,4.289783478E0,1.691365361E0
1.825969746E2,4.544833301E1,-7.375206158E1,2.431763891E1,6.882747650E0,1.292230682E2,4.312955856E0,1.693893909E0
1.835969646E2,4.544828695E1,-7.375202141E1,2.438414657E1,6.685801506E0,1.533140106E2,4.056092262E0,1.693834901E0
1.845969706E2,4.544823071E1,-7.375200701E1,2.426053989E1,7.158019066E0,1.673011017E2,4.121785641E0,1.693403244E0
1.855970146E2,4.544816641E1,-7.375200085E1,2.421942200E1,8.000788689E0,1.686006317E2,4.250193119E0,1.680095792E0
1.865970516E2,4.544809209E1,-7.375198830E1,2.442061732E1,8.888131142E0,1.688636322E2,4.329499245E0,1.698331237E0
1.875970456E2,4.544800946E1,-7.375197050E1,2.451482288E1,9.703012466E0,1.691762543E2,4.283596992E0,1.707329512E0
1.885970316E2,4.544791954E1,-7.375194836E1,2.473409962E1,1.019425297E1,1.694237976E2,4.123510361E0,1.711745858E0
1.895970806E2,4.544782557E1,-7.375192443E1,2.502526775E1,1.034252357E1,1.696775513E2,4.079399109E0,1.694586396E0
1.905970706E2,4.544773015E1,-7.375190071E1,2.505626705E1,1.055614662E1,1.695899658E2,3.985715389E0,1.678600550E0
1.915971016E2,4.544763242E1,-7.375187826E1,2.490500617E1,1.098733711E1,1.694161835E2,3.865283966E0,1.655290484E0
1.925971076E2,4.544753232E1,-7.375185296E1,2.477762580E1,1.141033745E1,1.692098694E2,3.860616207E0,1.643112540E0
1.935971286E2,4.544742969E1,-7.375182715E1,2.454470304E1,1.146998501E1,1.690529785E2,3.825338602E0,1.632495999E0
1.945971356E2,4.544732847E1,-7.375180134E1,2.412186454E1,1.133374310E1,1.687951965E2,3.842857838E0,1.624906063E0
1.955971726E2,4.544722919E1,-7.375177423E1,2.394895940E1,1.115117931E1,1.685896759E2,3.844980240E0,1.622026205E0
1.965971836E2,4.544713295E1,-7.375174934E1,2.356114444E1,1.039778328E1,1.681826019E2,3.864574909E0,1.619227290E0
1.975971676E2,4.544704613E1,-7.375172591E1,2.288971343E1,9.125085831E0,1.642348785E2,3.406102896E0,1.622299910E0
1.985971946E2,4.544697203E1,-7.375168842E1,2.254133113E1,8.386160851E0,1.548564301E2,3.243022442E0,1.645269752E0
1.995972156E2,4.544690851E1,-7.375163386E1,2.256634412E1,8.171648026E0,1.387930756E2,3.147078037E0,1.665290117E0
2.005972256E2,4.544686140E1,-7.375155410E1,2.288076769E1,8.060879707E0,1.197516403E2,3.415327549E0,1.685985804E0
2.015972146E2,4.544683434E1,-7.375145707E1,2.262278147E1,8.160220146E0,1.074308167E2,3.769345760E0,1.696721673E0
2.025972466E2,4.544681685E1,-7.375135172E1,2.266131463E1,8.203591347E0,1.034489746E2,3.640836954E0,1.705240250E0
2.035972896E2,4.544680399E1,-7.375124723E1,2.245691326E1,7.859872341E0,1.015617523E2,3.506637812E0,1.705230594E0
2.045972856E2,4.544679332E1,-7.375114297E1,2.257333609E1,7.680576801E0,1.014661179E2,3.369278431E0,1.697312713E0
2.055972696E2,4.544677817E1,-7.375103861E1,2.274352188E1,7.597188473E0,1.015205917E2,3.179959059E0,1.669991255E0
2.065972916E2,4.544676667E1,-7.375094535E1,2.246986289E1,7.160774708E0,1.014514084E2,3.095863581E0,1.656392097E0
2.075973026E2,4.544675514E1,-7.375085827E1,2.216305888E1,6.656527519E0,1.014293442E2,3.041420937E0,1.642645955E0
2.085973386E2,4.544674663E1,-7.375077598E1,2.195662431E1,6.299269676E0,1.013868332E2,2.965382099E0,1.631199121E0
2.095973416E2,4.544673768E1,-7.375070024E1,2.164590466E1,5.770236969E0,1.012465286E2,2.822032213E0,1.625453591E0
2.105973496E2,4.544673256E1,-7.375063236E1,2.145354765E1,4.352166176E0,1.011460114E2,2.751919508E0,1.608914256E0
