"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.864234551E3,-1.679879380E-3,1.679879380E-3,0.000000000E0
1.864284551E3,-4.581489484E-4,1.679879380E-3,-1.221730490E-3
1.864334551E3,-4.581489484E-4,-7.635815418E-4,0.000000000E0
1.864384551E3,-1.679879380E-3,-7.635815418E-4,1.221730490E-3
1.864434551E3,-1.679879380E-3,4.581489484E-4,-1.221730490E-3
1.864484551E3,-4.581489484E-4,4.581489484E-4,0.000000000E0
1.864534551E3,-1.679879380E-3,-7.635815418E-4,0.000000000E0
1.864584551E3,-4.581489484E-4,-7.635815418E-4,-1.221730490E-3
1.864634551E3,-4.581489484E-4,4.581489484E-4,-1.221730490E-3
1.864684551E3,-4.581489484E-4,-7.635815418E-4,-1.221730490E-3
1.864734551E3,-4.581489484E-4,4.581489484E-4,-1.221730490E-3
1.864784551E3,-4.581489484E-4,-7.635815418E-4,0.000000000E0
1.864834551E3,-2.901609987E-3,4.581489484E-4,0.000000000E0
1.864884551E3,-2.901609987E-3,4.581489484E-4,0.000000000E0
1.864934551E3,-4.581489484E-4,4.581489484E-4,0.000000000E0
1.864984551E3,1.985311974E-3,4.581489484E-4,-1.527163113E-4
1.865034551E3,7.635815418E-4,-7.635815418E-4,0.000000000E0
1.865084551E3,1.985311974E-3,-7.635815418E-4,-1.221730490E-3
1.865134551E3,7.635815418E-4,1.679879380E-3,1.221730490E-3
1.865184551E3,-4.581489484E-4,-7.635815418E-4,0.000000000E0
1.865234551E3,7.635815418E-4,4.581489484E-4,0.000000000E0
1.865284551E3,-1.679879380E-3,4.581489484E-4,0.000000000E0
1.865334551E3,-4.581489484E-4,4.581489484E-4,-1.221730490E-3
1.865384551E3,-4.581489484E-4,-7.635815418E-4,-1.221730490E-3
1.865434551E3,-4.581489484E-4,1.679879380E-3,0.000000000E0
1.865484551E3,-2.901609987E-3,-6.108652451E-4,0.000000000E0
1.865534551E3,-4.581489484E-4,1.679879380E-3,0.000000000E0
1.865584551E3,-4.581489484E-4,-7.635815418E-4,-1.221730490E-3
1.865634551E3,-1.679879380E-3,4.581489484E-4,-1.221730490E-3
1.865684551E3,7.635815418E-4,4.581489484E-4,0.000000000E0
1.865734551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.865784551E3,-3.054326226E-4,3.054326226E-4,0.000000000E0
1.865834551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.865884551E3,-3.054326226E-4,-9.162978968E-4,0.000000000E0
1.865934551E3,-3.054326226E-4,3.054326226E-4,-1.221730490E-3
1.865984551E3,-3.054326226E-4,-9.162978968E-4,1.221730490E-3
